Id,Category
0,0
1,10
2,0
3,9
4,7
5,3
6,9
7,10
8,0
9,2
10,1
11,0
12,4
13,10
14,0
15,9
16,9
17,1
18,5
19,9
20,3
21,5
22,1
23,3
24,1
25,1
26,2
27,4
28,9
29,3
30,5
31,9
32,2
33,2
34,2
35,2
36,5
37,10
38,10
39,2
40,0
41,1
42,2
43,10
44,2
45,1
46,10
47,3
48,0
49,9
50,10
51,1
52,3
53,3
54,3
55,8
56,7
57,7
58,6
59,9
60,5
61,8
62,2
63,3
64,10
65,1
66,1
67,9
68,9
69,10
70,2
71,5
72,5
73,9
74,5
75,7
76,4
77,3
78,2
79,9
80,0
81,2
82,9
83,8
84,8
85,1
86,4
87,4
88,10
89,5
90,5
91,5
92,3
93,2
94,6
95,2
96,2
97,2
98,6
99,10
100,3
101,1
102,8
103,5
104,4
105,7
106,6
107,5
108,9
109,10
110,5
111,5
112,5
113,3
114,4
115,4
116,9
117,2
118,9
119,3
120,0
121,0
122,0
123,5
124,1
125,2
126,5
127,8
128,10
129,9
130,5
131,0
132,3
133,0
134,2
135,2
136,3
137,10
138,3
139,3
140,8
141,9
142,2
143,5
144,1
145,4
146,9
147,4
148,2
149,2
150,5
151,4
152,9
153,4
154,10
155,1
156,2
157,2
158,8
159,2
160,0
161,8
162,5
163,5
164,5
165,2
166,5
167,8
168,3
169,9
170,8
171,2
172,4
173,5
174,2
175,2
176,2
177,10
178,8
179,9
180,2
181,8
182,9
183,4
184,10
185,9
186,2
187,3
188,2
189,4
190,1
191,3
192,1
193,3
194,0
195,5
196,8
197,9
198,0
199,0
200,9
201,2
202,8
203,7
204,0
205,0
206,0
207,9
208,10
209,2
210,2
211,2
212,2
213,2
214,1
215,2
216,10
217,0
218,6
219,0
220,5
221,2
222,2
223,7
224,5
225,5
226,9
227,9
228,6
229,3
230,0
231,2
232,8
233,8
234,3
235,2
236,9
237,10
238,0
239,7
240,4
241,3
242,5
243,4
244,1
245,1
246,2
247,7
248,10
249,5
250,9
251,3
252,0
253,5
254,5
255,2
256,0
257,9
258,0
259,0
260,1
261,8
262,8
263,4
264,5
265,9
266,1
267,3
268,0
269,9
270,2
271,8
272,10
273,4
274,5
275,1
276,9
277,0
278,2
279,9
280,9
281,2
282,2
283,7
284,10
285,9
286,5
287,4
288,3
289,10
290,9
291,0
292,1
293,10
294,2
295,2
296,7
297,0
298,8
299,5
300,2
301,9
302,9
303,1
304,0
305,10
306,2
307,3
308,9
309,3
310,7
311,3
312,1
313,8
314,8
315,0
316,7
317,1
318,0
319,9
320,3
321,2
322,5
323,0
324,4
325,0
326,5
327,6
328,10
329,0
330,3
331,0
332,5
333,9
334,2
335,2
336,3
337,2
338,5
339,10
340,9
341,6
342,5
343,6
344,0
345,5
346,2
347,6
348,3
349,9
350,10
351,2
352,6
353,2
354,6
355,5
356,0
357,10
358,10
359,0
360,2
361,5
362,10
363,2
364,2
365,5
366,2
367,4
368,10
369,0
370,9
371,0
372,5
373,4
374,3
375,4
376,9
377,9
378,8
379,5
380,10
381,6
382,3
383,2
384,1
385,0
386,0
387,10
388,10
389,2
390,10
391,0
392,10
393,8
394,9
395,2
396,8
397,8
398,2
399,9
400,9
401,4
402,9
403,2
404,7
405,3
406,0
407,8
408,5
409,3
410,9
411,7
412,3
413,7
414,3
415,7
416,5
417,4
418,1
419,2
420,5
421,2
422,5
423,10
424,3
425,1
426,6
427,4
428,9
429,9
430,5
431,2
432,7
433,8
434,3
435,2
436,8
437,10
438,1
439,9
440,10
441,4
442,1
443,3
444,2
445,3
446,0
447,10
448,1
449,2
450,0
451,9
452,2
453,2
454,6
455,6
456,5
457,7
458,8
459,10
460,10
461,9
462,10
463,10
464,2
465,9
466,7
467,1
468,9
469,1
470,2
471,4
472,8
473,8
474,9
475,0
476,6
477,2
478,1
479,0
480,9
481,4
482,3
483,1
484,10
485,0
486,1
487,9
488,2
489,9
490,3
491,1
492,7
493,1
494,2
495,2
496,8
497,5
498,2
499,10
500,6
501,1
502,5
503,9
504,0
505,7
506,6
507,8
508,10
509,10
510,2
511,6
512,2
513,4
514,3
515,2
516,9
517,9
518,4
519,3
520,2
521,3
522,7
523,1
524,5
525,2
526,9
527,7
528,6
529,2
530,0
531,3
532,4
533,9
534,4
535,10
536,1
537,1
538,8
539,0
540,1
541,9
542,5
543,0
544,9
545,8
546,9
547,5
548,3
549,5
550,9
551,1
552,9
553,2
554,4
555,2
556,9
557,5
558,6
559,2
560,7
561,1
562,0
563,8
564,3
565,4
566,5
567,1
568,8
569,3
570,2
571,5
572,2
573,5
574,8
575,0
576,8
577,0
578,4
579,0
580,2
581,2
582,5
583,9
584,1
585,6
586,2
587,2
588,6
589,2
590,9
591,3
592,9
593,0
594,1
595,3
596,0
597,0
598,4
599,2
600,5
601,10
602,6
603,6
604,0
605,4
606,9
607,4
608,3
609,2
610,4
611,9
612,2
613,3
614,9
615,10
616,8
617,9
618,4
619,9
620,7
621,3
622,4
623,10
624,7
625,0
626,3
627,2
628,9
629,6
630,3
631,9
632,2
633,2
634,9
635,3
636,7
637,1
638,2
639,0
640,10
641,3
642,9
643,1
644,1
645,0
646,7
647,2
648,9
649,3
650,7
651,10
652,8
653,5
654,2
655,5
656,5
657,8
658,2
659,3
660,8
661,6
662,3
663,9
664,9
665,9
666,2
667,0
668,7
669,0
670,2
671,9
672,2
673,6
674,2
675,5
676,3
677,2
678,5
679,1
680,2
681,1
682,2
683,8
684,1
685,7
686,6
687,4
688,10
689,6
690,2
691,9
692,3
693,5
694,0
695,1
696,2
697,8
698,4
699,1
700,1
701,0
702,10
703,0
704,3
705,10
706,8
707,0
708,5
709,0
710,5
711,8
712,6
713,9
714,6
715,3
716,0
717,5
718,5
719,9
720,10
721,6
722,4
723,10
724,9
725,4
726,5
727,1
728,2
729,2
730,9
731,1
732,2
733,5
734,0
735,1
736,3
737,8
738,2
739,7
740,3
741,1
742,3
743,10
744,1
745,0
746,2
747,2
748,6
749,8
750,5
751,2
752,0
753,5
754,8
755,0
756,8
757,10
758,9
759,2
760,2
761,8
762,3
763,7
764,2
765,3
766,5
767,9
768,5
769,10
770,2
771,4
772,0
773,3
774,3
775,9
776,3
777,5
778,0
779,4
780,4
781,1
782,4
783,6
784,10
785,8
786,9
787,0
788,8
789,10
790,3
791,8
792,7
793,1
794,7
795,2
796,9
797,2
798,0
799,2
800,1
801,2
802,0
803,8
804,0
805,3
806,10
807,8
808,10
809,9
810,9
811,9
812,0
813,5
814,4
815,4
816,5
817,2
818,3
819,2
820,8
821,8
822,9
823,10
824,0
825,3
826,4
827,2
828,9
829,1
830,0
831,1
832,8
833,0
834,2
835,0
836,5
837,0
838,2
839,3
840,2
841,10
842,5
843,2
844,8
845,2
846,3
847,5
848,8
849,3
850,8
851,1
852,1
853,3
854,10
855,10
856,10
857,10
858,7
859,2
860,1
861,1
862,2
863,9
864,3
865,2
866,2
867,10
868,8
869,2
870,3
871,1
872,5
873,0
874,9
875,3
876,8
877,2
878,5
879,10
880,5
881,2
882,9
883,0
884,2
885,8
886,3
887,4
888,2
889,0
890,3
891,2
892,3
893,3
894,6
895,2
896,3
897,2
898,4
899,4
900,6
901,10
902,8
903,9
904,5
905,3
906,7
907,5
908,9
909,0
910,10
911,7
912,5
913,2
914,0
915,3
916,0
917,3
918,9
919,5
920,9
921,3
922,2
923,9
924,9
925,2
926,3
927,1
928,4
929,9
930,9
931,2
932,9
933,0
934,9
935,2
936,1
937,2
938,8
939,3
940,9
941,0
942,0
943,10
944,0
945,10
946,7
947,8
948,10
949,2
950,10
951,1
952,9
953,9
954,1
955,5
956,6
957,7
958,2
959,4
960,2
961,1
962,0
963,10
964,5
965,0
966,5
967,5
968,2
969,4
970,10
971,0
972,2
973,5
974,3
975,5
976,2
977,2
978,9
979,0
980,3
981,6
982,4
983,9
984,9
985,2
986,5
987,2
988,8
989,0
990,5
991,2
992,8
993,6
994,1
995,4
996,3
997,2
998,9
999,4
1000,9
1001,2
1002,10
1003,7
1004,2
1005,6
1006,3
1007,3
1008,0
1009,5
1010,2
1011,0
1012,6
1013,5
1014,0
1015,10
1016,4
1017,5
1018,2
1019,9
1020,10
1021,9
1022,0
1023,8
1024,9
1025,2
1026,10
1027,0
1028,8
1029,8
1030,10
1031,0
1032,7
1033,0
1034,9
1035,10
1036,8
1037,4
1038,5
1039,8
1040,9
1041,8
1042,9
1043,0
1044,0
1045,9
1046,1
1047,5
1048,0
1049,9
1050,10
1051,3
1052,9
1053,8
1054,8
1055,5
1056,6
1057,8
1058,3
1059,9
1060,10
1061,10
1062,5
1063,10
1064,9
1065,2
1066,2
1067,10
1068,9
1069,9
1070,6
1071,0
1072,0
1073,9
1074,10
1075,2
1076,0
1077,5
1078,2
1079,10
1080,2
1081,2
1082,9
1083,8
1084,2
1085,3
1086,7
1087,5
1088,1
1089,0
1090,1
1091,10
1092,1
1093,5
1094,2
1095,1
1096,10
1097,2
1098,9
1099,6
1100,9
1101,1
1102,5
1103,4
1104,6
1105,2
1106,9
1107,10
1108,8
1109,9
1110,5
1111,9
1112,2
1113,5
1114,10
1115,3
1116,5
1117,5
1118,0
1119,9
1120,6
1121,6
1122,2
1123,0
1124,1
1125,9
1126,0
1127,1
1128,8
1129,4
1130,2
1131,2
1132,2
1133,1
1134,0
1135,8
1136,0
1137,8
1138,0
1139,0
1140,9
1141,3
1142,3
1143,2
1144,8
1145,8
1146,0
1147,10
1148,3
1149,10
1150,3
1151,2
1152,3
1153,9
1154,2
1155,9
1156,5
1157,5
1158,2
1159,1
1160,9
1161,5
1162,9
1163,9
1164,3
1165,2
1166,4
1167,2
1168,9
1169,2
1170,4
1171,9
1172,7
1173,2
1174,8
1175,5
1176,10
1177,1
1178,2
1179,0
1180,3
1181,6
1182,8
1183,5
1184,2
1185,6
1186,6
1187,5
1188,4
1189,9
1190,7
1191,8
1192,8
1193,5
1194,10
1195,3
1196,3
1197,5
1198,2
1199,9
1200,5
1201,0
1202,2
1203,3
1204,2
1205,5
1206,1
1207,9
1208,9
1209,3
1210,9
1211,10
1212,5
1213,10
1214,2
1215,10
1216,8
1217,2
1218,0
1219,9
1220,10
1221,2
1222,4
1223,1
1224,4
1225,3
1226,8
1227,6
1228,1
1229,9
1230,0
1231,4
1232,10
1233,8
1234,4
1235,9
1236,4
1237,0
1238,9
1239,9
1240,2
1241,0
1242,8
1243,9
1244,0
1245,8
1246,4
1247,5
1248,3
1249,5
1250,8
1251,9
1252,10
1253,9
1254,4
1255,8
1256,0
1257,10
1258,8
1259,9
1260,0
1261,1
1262,3
1263,3
1264,0
1265,1
1266,5
1267,10
1268,10
1269,10
1270,2
1271,2
1272,2
1273,0
1274,1
1275,1
1276,0
1277,0
1278,10
1279,2
1280,1
1281,2
1282,7
1283,5
1284,1
1285,2
1286,9
1287,9
1288,10
1289,3
1290,8
1291,8
1292,2
1293,0
1294,4
1295,5
1296,2
1297,4
1298,9
1299,2
1300,9
1301,2
1302,5
1303,1
1304,2
1305,9
1306,1
1307,1
1308,2
1309,2
1310,0
1311,3
1312,1
1313,9
1314,2
1315,3
1316,4
1317,10
1318,5
1319,10
1320,2
1321,3
1322,3
1323,9
1324,4
1325,2
1326,5
1327,4
1328,4
1329,1
1330,10
1331,0
1332,0
1333,1
1334,5
1335,4
1336,8
1337,3
1338,9
1339,1
1340,2
1341,1
1342,0
1343,8
1344,1
1345,7
1346,8
1347,1
1348,2
1349,4
1350,10
1351,5
1352,1
1353,3
1354,8
1355,7
1356,5
1357,6
1358,0
1359,9
1360,6
1361,4
1362,5
1363,5
1364,10
1365,7
1366,0
1367,2
1368,2
1369,9
1370,8
1371,0
1372,5
1373,5
1374,9
1375,4
1376,10
1377,8
1378,4
1379,8
1380,4
1381,3
1382,8
1383,3
1384,5
1385,4
1386,0
1387,8
1388,9
1389,9
1390,10
1391,0
1392,2
1393,5
1394,2
1395,2
1396,10
1397,2
1398,2
1399,9
1400,2
1401,9
1402,9
1403,5
1404,9
1405,4
1406,10
1407,5
1408,5
1409,2
1410,0
1411,2
1412,0
1413,8
1414,8
1415,2
1416,8
1417,0
1418,2
1419,8
1420,10
1421,7
1422,3
1423,2
1424,10
1425,2
1426,3
1427,0
1428,2
1429,4
1430,9
1431,7
1432,8
1433,5
1434,8
1435,9
1436,2
1437,2
1438,5
1439,3
1440,9
1441,3
1442,2
1443,8
1444,10
1445,1
1446,1
1447,10
1448,6
1449,0
1450,0
1451,4
1452,1
1453,9
1454,3
1455,1
1456,9
1457,3
1458,0
1459,0
1460,2
1461,5
1462,1
1463,2
1464,9
1465,5
1466,2
1467,9
1468,1
1469,2
1470,2
1471,1
1472,5
1473,2
1474,7
1475,0
1476,9
1477,4
1478,8
1479,6
1480,9
1481,5
1482,9
1483,3
1484,4
1485,8
1486,0
1487,3
1488,1
1489,2
1490,2
1491,3
1492,8
1493,1
1494,10
1495,9
1496,9
1497,1
1498,4
1499,10
1500,1
1501,6
1502,8
1503,2
1504,9
1505,8
1506,9
1507,7
1508,8
1509,4
1510,0
1511,10
1512,8
1513,3
1514,5
1515,9
1516,10
1517,5
1518,3
1519,2
1520,2
1521,1
1522,3
1523,2
1524,0
1525,5
1526,2
1527,3
1528,1
1529,1
1530,10
1531,7
1532,0
1533,0
1534,2
1535,3
1536,3
1537,2
1538,0
1539,4
1540,9
1541,6
1542,9
1543,6
1544,6
1545,6
1546,9
1547,2
1548,0
1549,4
1550,2
1551,8
1552,6
1553,9
1554,5
1555,4
1556,2
1557,2
1558,0
1559,9
1560,9
1561,8
1562,3
1563,9
1564,7
1565,6
1566,9
1567,1
1568,2
1569,5
1570,3
1571,5
1572,10
1573,9
1574,10
1575,0
1576,9
1577,9
1578,1
1579,7
1580,9
1581,6
1582,1
1583,5
1584,8
1585,2
1586,4
1587,5
1588,4
1589,0
1590,5
1591,10
1592,5
1593,10
1594,0
1595,0
1596,10
1597,7
1598,3
1599,10
1600,9
1601,4
1602,1
1603,2
1604,8
1605,8
1606,0
1607,4
1608,7
1609,9
1610,0
1611,8
1612,9
1613,10
1614,7
1615,0
1616,3
1617,2
1618,3
1619,2
1620,4
1621,3
1622,2
1623,1
1624,2
1625,2
1626,3
1627,2
1628,3
1629,1
1630,5
1631,8
1632,5
1633,3
1634,3
1635,2
1636,3
1637,3
1638,5
1639,1
1640,9
1641,1
1642,5
1643,0
1644,4
1645,2
1646,1
1647,8
1648,5
1649,8
1650,7
1651,8
1652,3
1653,1
1654,3
1655,3
1656,1
1657,3
1658,5
1659,4
1660,1
1661,3
1662,1
1663,4
1664,0
1665,10
1666,8
1667,8
1668,1
1669,4
1670,9
1671,9
1672,7
1673,8
1674,9
1675,0
1676,1
1677,6
1678,5
1679,3
1680,8
1681,5
1682,4
1683,3
1684,5
1685,8
1686,8
1687,3
1688,8
1689,1
1690,2
1691,2
1692,2
1693,9
1694,5
1695,9
1696,8
1697,9
1698,9
1699,5
1700,0
1701,9
1702,5
1703,3
1704,2
1705,8
1706,8
1707,10
1708,3
1709,6
1710,2
1711,10
1712,5
1713,5
1714,4
1715,2
1716,2
1717,5
1718,9
1719,5
1720,1
1721,3
1722,4
1723,3
1724,1
1725,2
1726,0
1727,10
1728,2
1729,3
1730,8
1731,2
1732,9
1733,2
1734,1
1735,0
1736,0
1737,6
1738,1
1739,8
1740,0
1741,0
1742,9
1743,1
1744,3
1745,0
1746,8
1747,4
1748,9
1749,9
1750,1
1751,2
1752,3
1753,1
1754,3
1755,5
1756,3
1757,9
1758,2
1759,1
1760,3
1761,0
1762,9
1763,6
1764,1
1765,9
1766,3
1767,5
1768,0
1769,8
1770,5
1771,10
1772,10
1773,8
1774,0
1775,8
1776,4
1777,9
1778,1
1779,1
1780,9
1781,8
1782,1
1783,9
1784,9
1785,9
1786,2
1787,8
1788,10
1789,9
1790,1
1791,1
1792,2
1793,0
1794,2
1795,1
1796,5
1797,2
1798,2
1799,1
1800,1
1801,1
1802,5
1803,8
1804,6
1805,1
1806,9
1807,2
1808,9
1809,1
1810,4
1811,4
1812,0
1813,2
1814,10
1815,2
1816,9
1817,4
1818,2
1819,1
1820,9
1821,10
1822,9
1823,0
1824,1
1825,1
1826,1
1827,9
1828,9
1829,0
1830,0
1831,2
1832,9
1833,2
1834,0
1835,1
1836,3
1837,9
1838,6
1839,2
1840,4
1841,2
1842,0
1843,5
1844,5
1845,5
1846,5
1847,9
1848,3
1849,8
1850,2
1851,5
1852,8
1853,5
1854,7
1855,1
1856,1
1857,2
1858,1
1859,6
1860,9
1861,9
1862,0
1863,5
1864,8
1865,0
1866,2
1867,3
1868,1
1869,3
1870,1
1871,5
1872,0
1873,10
1874,5
1875,10
1876,8
1877,7
1878,0
1879,6
1880,0
1881,8
1882,2
1883,3
1884,4
1885,0
1886,9
1887,8
1888,5
1889,2
1890,4
1891,2
1892,1
1893,7
1894,0
1895,8
1896,3
1897,0
1898,0
1899,0
1900,1
1901,3
1902,9
1903,0
1904,8
1905,1
1906,4
1907,5
1908,1
1909,7
1910,10
1911,3
1912,3
1913,2
1914,3
1915,9
1916,5
1917,2
1918,8
1919,3
1920,8
1921,10
1922,10
1923,3
1924,4
1925,5
